"","contrast","nu","betap","beta","estimate","SE","df","lower.CL","upper.CL"
"196","vaxrate0.25 - vaxrate0.5","0.5","1.75","2.1",0.601720734246435,0.121926913502492,1296,0.279551501451388,0.923889967041482
"197","vaxrate0.25 - vaxrate0.75","0.5","1.75","2.1",1.16304858921695,0.121926913502492,1296,0.840879356421898,1.48521782201199
"198","vaxrate0.5 - vaxrate0.75","0.5","1.75","2.1",0.561327854970511,0.121926913502492,1296,0.239158622175463,0.883497087765558
"199","vaxrate0 - vaxrate0.25","0","2","2.1",1.48985843221865,0.121926913502491,1296,1.1676891994236,1.81202766501369
"200","vaxrate0 - vaxrate0.5","0","2","2.1",2.70810804807436,0.121926913502492,1296,2.38593881527931,3.03027728086941
"201","vaxrate0 - vaxrate0.75","0","2","2.1",3.75199257664579,0.121926913502492,1296,3.42982334385074,4.07416180944084
"202","vaxrate0.25 - vaxrate0.5","0","2","2.1",1.21824961585571,0.12192691350249,1296,0.896080383060671,1.54041884865076
"203","vaxrate0.25 - vaxrate0.75","0","2","2.1",2.26213414442714,0.12192691350249,1296,1.9399649116321,2.58430337722218
"204","vaxrate0.5 - vaxrate0.75","0","2","2.1",1.04388452857143,0.121926913502491,1296,0.721715295776381,1.36605376136647
"205","vaxrate0 - vaxrate0.25","0.25","2","2.1",0.66495461065303,0.121926913502493,1296,0.34278537785798,0.98712384344808
